"Hostname","IPAddress","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"WINDOWS732BIT","192.168.1.146, fe80::81f7:7e77:7b63:99de, 2405:201:35:1808:bc86:6aab:af0:e673, 2405:201:35:1808:81f7:7e77:7b63:99de","OK","Success","Oracle VirtualBox Guest Additions 7.1.10","7.1.10.169112","Oracle and/or its affiliates","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Oracle VirtualBox Guest Additions",
"WINDOWS7","192.168.1.147","OK","Success","Mozilla Maintenance Service","115.24.0","Mozilla","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MozillaMaintenanceService",
"WINDOWS7","192.168.1.147","OK","Success","Microsoft .NET Framework 4.5.2","4.5.51209","Microsoft Corporation","26784146-6E05-3FF9-9335-786C7C0FB5BE","6/9/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{26784146-6E05-3FF9-9335-786C7C0FB5BE}",
"WINDOWS7","192.168.1.147","OK","Success","Java 7 Update 80 (64-bit)","7.0.800","Oracle","26A24AE4-039D-4CA4-87B4-2F06417080FF","11/21/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{26A24AE4-039D-4CA4-87B4-2F06417080FF}",
"WINDOWS7","192.168.1.147","OK","Success","Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4","5/30/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}",
"WINDOWS7","192.168.1.147","OK","Success","Java SE Development Kit 7 Update 80 (64-bit)","1.7.0.800","Oracle","64A3A4F4-B792-11D6-A78A-00B0D0170800","11/21/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{64A3A4F4-B792-11D6-A78A-00B0D0170800}",
"WINDOWS7","192.168.1.147","OK","Success","Microsoft .NET Framework 4.5.2","4.5.51209","Microsoft Corporation","92FB6C44-E685-45AD-9B20-CADF4CABA132","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{92FB6C44-E685-45AD-9B20-CADF4CABA132} - 1033",
"WINDOWS7","192.168.1.147","OK","Success","Avast Free Antivirus","21.2.2455","Avast Software","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Avast Antivirus",
"WINDOWS7","192.168.1.147","OK","Success","Mozilla Firefox ESR (x86 en-US)","115.30.0","Mozilla","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Firefox 115.30.0 ESR (x86 en-US)",
"WINDOWS7","192.168.1.147","OK","Success","WinRAR 5.01 (32-bit)","5.01.0","win.rar GmbH","","","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\WinRAR archiver",
